SetterPosition,ReceiveType,BlockingNum,ReceivingPlayer,PassQuality,Attacker,AttackResult,killType,KillX,KillY,killTeam,hitFix,BlockResult,BlockingPlayer,BlockingAssist
1,M,2.0,19,2,21,D,,,,,,,,
1,L,2.0,4,2,21,D,,,,,,,,
1,R,1.5,4,1,21,D,,,,,,,,
1,L,2.0,,,,,,,,,,D,1,9
1,L,2.0,,,,,,,,,,T,1,9
1,S,,11,0,,,,,,,,,,
1,R,2.0,19,1,-1,D,,,,,,,,
1,L,2.0,-1,,,,S,1,3,0,,,,
6,L,1.5,,,,,,,,,,T,9,1
6,S,,19,0,,,,,,,,,,
6,S,,11,1,19,D,,,,,,,,
6,L,2.0,-1,,,,S,1,3,0,,,,
5,L,1.0,21,1,-1,D,,,,,,,,
5,L,1.0,1,2,9,K,S,3,2,1,,,,
5,O,1.0,,,,,,,,,,E,13,
5,S,,21,0,,,,,,,,,,
5,S,,21,0,,,,,,,,,,
5,S,,21,1,19,D,,,,,,,,
5,F,0.0,11,3,13,D,,,,,,,,
5,L,2.0,,,,,,,,,,D,13,9
5,D,0.0,-1,,,,T,2,2,0,,,,
5,S,,21,0,,,,,,,,,,
5,S,,4,1,-1,D,,,,,,,,
5,L,2.0,11,3,9,D,,,,,,,,
4,L,2.0,9,0,,,,,,0,,,,
4,P,1.0,11,1,,,,,,,,,,
4,L,2.0,,,,,,,,,,D,4,13
4,L,2.0,13,0,,,T,1,1,0,,,,
4,S,,-1,,,,,,,,,,,
4,S,,15,0,,,,,,,,,,
4,L,2.0,,,,,,,,,,T,13,4
4,S,,21,3,13,D,,,,,,,,
4,F,0.0,21,3,15,D,,,,,,,,
3,L,2.0,13,1,-1,D,,,,,,,,
3,L,2.0,15,1,-1,D,,,,,,,,
3,L,2.0,,,,,,,,,,D,13,4
3,F,0.0,11,3,21,E,,,,,,,,
2,L,2.0,,,,,,,,,,D,1,4
2,D,1.0,15,2,21,D,,,,,,,,
2,L,2.0,,,,,,,,,,T,1,4
