SetterPosition,ReceiveType,BlockingNum,ReceivingPlayer,PassQuality,Attacker,AttackResult,killType,KillX,KillY,killTeam,hitFix,BlockResult,BlockingPlayer,BlockingAssist
1,R,1.5,4,1,-1,D,,,,,,,,
1,F,0.0,15,3,18,E,,,,,,,,
6,F,0.0,18,1,9,D,,,,,,,,
6,L,2.0,21,1,,,,,,,,,,
6,S,,21,2,15,K,T,3,3,1,,,,
5,S,,21,0,,,,,,,,,,
3,L,1.5,,,,,,,,,,E,4,13
3,S,,21,0,,,,,,,,,,
3,S,,15,0,,,,,,,,,,
3,S,,11,0,,,,,,,,,,
3,S,,9,1,15,D,,,,,,,,
3,L,2.0,11,3,15,D,,,,,,,,
3,F,0.0,21,3,13,K,S,3,2,1,,,,
2,L,2.0,,,,,,,,,,D,13,4
2,L,2.0,,,,,,,,,,K,4,13
3,M,0.0,-1,,,,T,2,2,0,,,,
3,S,,11,0,,,,,,,,,,
2,D,0.0,21,2,4,D,,,,,,,,
2,L,2.0,13,0,,,R,3,1,0,,,,
2,R,1.5,15,2,9,K,S,1,3,1,,,,
1,M,1.0,,,,,,,,,,D,18,
1,M,1.0,,,,,,,,,,K,18,
1,L,2.0,-1,,,,S,3,3,0,,,,
1,S,,15,0,9,D,,,,,,,,
1,R,2.0,,,,,,,,,,K,18,15
6,R,2.0,11,3,9,K,S,2,3,1,,,,
6,L,2.0,15,2,9,D,,,,,,,,
6,R,1.5,-1,,,,S,3,3,0,,,,
6,S,,-1,,,,,,,,,,,
6,S,,11,3,15,D,,,,,,,,
6,R,2.0,21,2,9,D,,,,,,,,
6,L,2.0,8,3,15,D,,,,,,,,
6,F,0.0,8,2,9,E,,,,,,,,
6,S,,21,0,,,,,,,,,,
6,S,,11,3,15,D,,,,,,,,
6,M,2.0,,,,,,,,,,D,18,15
6,L,2.0,,,,,,,,,,E,9,18
6,S,,21,0,,,,,,,,,,
6,S,,15,0,15,K,S,3,3,1,,,,
5,S,,21,1,15,K,S,1,1,1,,,,
4,F,0.0,21,3,13,K,S,3,3,1,,,,
4,L,2.0,-1,,,,S,2,3,0,,,,
4,S,,21,2,-1,D,,,,,,,,
4,M,2.0,11,3,15,D,,,,,,,,
3,S,,15,3,13,D,,,,,,,,
3,D,0.0,11,2,-1,E,,,,,,,,
3,S,,21,3,13,D,,,,,,,,
3,M,1.0,9,3,13,K,S,1,3,1,,,,
2,L,2.0,9,1,-1,E,,,,,,,,
2,S,,11,0,,,,,,,,,,
2,S,,15,2,21,D,,,,,,,,
2,R,1.5,11,0,,,S,3,3,0,,,,
